input,region,output,value
WDP,KOR,OTM,0.05959993645893109
NMM,KOR,OTM,0.09782832281079461
MAC,KOR,OTM,0.022150874956132136
ELE,KOR,OTM,0.03820198953449751
VEH,KOR,OTM,0.006657172855771781
OTM,KOR,OTM,0.06016350136463112
SRV,KOR,OTM,0.18548853701139711
AGF,KOR,SRV,0.023120295294080485
MIN,KOR,SRV,0.004755737115008358
ENR,KOR,SRV,0.03785565497715926
CHM,KOR,SRV,0.02473907379741355
TXL,KOR,SRV,0.004074747025284712
WDP,KOR,SRV,0.009974922081025519
NMM,KOR,SRV,0.024706884946373093
MAC,KOR,SRV,0.005960218248632681
ELE,KOR,SRV,0.020842332144777827
VEH,KOR,SRV,0.006489794129803249
OTM,KOR,SRV,0.006208007926555018
SRV,KOR,SRV,0.3166606535748252
AGF,EU27,AGF,0.2941158317176322
MIN,EU27,AGF,0.00048255486781678176
ENR,EU27,AGF,0.018024713184474385
CHM,EU27,AGF,0.04780411341582812
TXL,EU27,AGF,0.0010175423822098063
WDP,EU27,AGF,0.014182364378041053
NMM,EU27,AGF,0.01604764768182628
MAC,EU27,AGF,0.004489645676970978
ELE,EU27,AGF,0.003568725640074764
VEH,EU27,AGF,0.0018290970595070993
OTM,EU27,AGF,0.008859036926628944
SRV,EU27,AGF,0.3155600490340893
AGF,EU27,MIN,0.002269842435640156
MIN,EU27,MIN,0.030153192475297644
ENR,EU27,MIN,0.03664037580004753
CHM,EU27,MIN,0.024646341345965293
TXL,EU27,MIN,0.0009073358233608334
WDP,EU27,MIN,0.0030120478322976673
NMM,EU27,MIN,0.020866131616815248
MAC,EU27,MIN,0.013548528759193655
ELE,EU27,MIN,0.0066792217154137455
VEH,EU27,MIN,0.0030314172371824965
OTM,EU27,MIN,0.015249122755010024
SRV,EU27,MIN,0.2885444803051071
AGF,EU27,ENR,0.001632781859066295
MIN,EU27,ENR,0.007067968972275692
ENR,EU27,ENR,0.6034730074352099
CHM,EU27,ENR,0.02760176487074792
TXL,EU27,ENR,0.0002532882263372307
WDP,EU27,ENR,0.0008955394790160886
NMM,EU27,ENR,0.004655360353236655
MAC,EU27,ENR,0.0036859775409332158
ELE,EU27,ENR,0.00191701057566464
VEH,EU27,ENR,0.000868174567297633
OTM,EU27,ENR,0.005004502094816614
SRV,EU27,ENR,0.20143604447444685
AGF,EU27,CHM,0.010850762616022032
MIN,EU27,CHM,0.0017894701494400736
ENR,EU27,CHM,0.05383836441815829
CHM,EU27,CHM,0.27051931734111284
TXL,EU27,CHM,0.002381789089741305
WDP,EU27,CHM,0.007840052800122057
NMM,EU27,CHM,0.01744896502579418
MAC,EU27,CHM,0.0047098029484296455
ELE,EU27,CHM,0.005186793276516586
VEH,EU27,CHM,0.002245110950627764
OTM,EU27,CHM,0.006988671190216272
SRV,EU27,CHM,0.2938044797868075
AGF,EU27,TXL,0.01902564527023127
MIN,EU27,TXL,0.00021910471379318222
ENR,EU27,TXL,0.007511335187616635
