origin,sector,destination,value
USA,SRV,EU27,442422.83532037865
USA,SRV,VNM,3896.8641489318125
USA,SRV,THA,6655.048390641774
USA,SRV,MYS,10237.487193538715
USA,SRV,IDN,4637.615565652275
USA,SRV,SGP,64541.50504829146
USA,SRV,PHL,5279.311997667223
USA,SRV,IND,44981.27510447634
USA,SRV,MEX,43540.3258036118
USA,SRV,ROW,554900.3601115495
JPN,AGF,CHN,1461.7711032705809
JPN,AGF,USA,1062.948034470105
JPN,AGF,JPN,356199.33
JPN,AGF,KOR,346.7159832338768
JPN,AGF,EU27,1.0
JPN,AGF,VNM,391.141502549095
JPN,AGF,THA,272.5344878089706
JPN,AGF,MYS,159.23383845093772
JPN,AGF,IDN,85.45385689875708
JPN,AGF,SGP,298.44089305073595
JPN,AGF,PHL,95.12633172756678
JPN,AGF,IND,24.48573085917665
JPN,AGF,MEX,10.546490556758503
JPN,AGF,ROW,3007.255747123438
JPN,MIN,CHN,314.9784622359843
JPN,MIN,USA,78.28061519713285
JPN,MIN,JPN,7875.446
JPN,MIN,KOR,118.09499919357837
JPN,MIN,EU27,1.0
JPN,MIN,VNM,41.15567211854039
JPN,MIN,THA,21.80153061466764
JPN,MIN,MYS,7.437797679421171
JPN,MIN,IDN,22.332699167030004
JPN,MIN,SGP,16.896286571692606
JPN,MIN,PHL,12.93050313883281
JPN,MIN,IND,41.876275782093934
JPN,MIN,MEX,1.3267585107669349
JPN,MIN,ROW,235.28839979025904
JPN,ENR,CHN,1219.5742512774177
JPN,ENR,USA,1123.187892183622
JPN,ENR,JPN,149235.859
JPN,ENR,KOR,2419.8998519899533
JPN,ENR,EU27,1.0
JPN,ENR,VNM,175.1458295940702
JPN,ENR,THA,133.1184486571166
JPN,ENR,MYS,589.1439179294603
JPN,ENR,IDN,44.925572943536366
JPN,ENR,SGP,1467.9183806710614
JPN,ENR,PHL,781.7941409946776
JPN,ENR,IND,228.67044358265466
JPN,ENR,MEX,279.66595862692134
JPN,ENR,ROW,4614.264311549507
JPN,CHM,CHN,20257.576691144153
JPN,CHM,USA,11019.92847680559
JPN,CHM,JPN,300804.85799999995
JPN,CHM,KOR,7713.523340631321
JPN,CHM,EU27,1.0
JPN,CHM,VNM,1905.4253021113193
JPN,CHM,THA,3108.1931989200675
JPN,CHM,MYS,1308.5814369666957
JPN,CHM,IDN,1813.5959794435093
JPN,CHM,SGP,1906.8527195359036
JPN,CHM,PHL,1017.8842650927395
JPN,CHM,IND,3335.733723164001
JPN,CHM,MEX,511.66518046188725
JPN,CHM,ROW,23041.293685722823
JPN,TXL,CHN,1438.7928646886658
JPN,TXL,USA,519.0470569780795
JPN,TXL,JPN,23577.445
JPN,TXL,KOR,316.2272361918667
JPN,TXL,EU27,1.0
JPN,TXL,VNM,623.9267042981053
JPN,TXL,THA,208.85600391735457
JPN,TXL,MYS,40.17532710564826
JPN,TXL,IDN,132.11844287415857
JPN,TXL,SGP,45.89837803387622
JPN,TXL,PHL,73.19835836864368
JPN,TXL,IND,71.60404112633071
JPN,TXL,MEX,47.20970494578456
JPN,TXL,ROW,1568.9388814714846
JPN,WDP,CHN,981.0064483209051
JPN,WDP,USA,249.5399154278155
JPN,WDP,JPN,110351.498
JPN,WDP,KOR,456.3212805820611
JPN,WDP,EU27,1.0
JPN,WDP,VNM,367.21986212159413
JPN,WDP,THA,234.54683372566532
JPN,WDP,MYS,162.52491515652486
JPN,WDP,IDN,157.4817326118151
JPN,WDP,SGP,34.97384007199581
JPN,WDP,PHL,223.23508481343023
