region,sector,Y0,labor,capital
SAU,MIN,7548.59,845.691,3967.9047197584787
SAU,ENR,458698.272,13584.940999999999,317133.37288371724
SAU,CHM,86919.335,5791.209,32473.765974357524
SAU,TXL,8657.281,1539.426,3224.114215523246
SAU,WDP,12974.93,2554.894,4085.753387974453
SAU,NMM,37728.18,4726.99,10272.259215767526
SAU,MAC,4860.123,585.965,1621.3273779400342
SAU,ELE,9937.696,365.211,3764.053631990072
SAU,VEH,2461.542,241.765,916.8223293444436
SAU,OTM,10957.496,2344.778,2742.665607754638
SAU,SRV,1023702.12,226846.922,373224.04237966915
AUS,AGF,189459.72499999998,21702.442,43069.45099663417
AUS,MIN,257123.385,24042.179,142493.4599187202
AUS,ENR,100549.329,3672.368,65856.0455354677
AUS,CHM,37163.85,6655.517,5605.554838422988
AUS,TXL,4145.41,1138.288,529.2813473810497
AUS,WDP,23398.567000000003,4991.811,3399.6544793936228
AUS,NMM,92371.833,12920.407,8111.099980936771
AUS,MAC,12715.184,3503.708,1280.699257808396
AUS,ELE,14937.423999999999,3822.984,3427.738233561006
AUS,VEH,23427.400999999998,5749.844,1558.7525136909326
AUS,OTM,24984.444,1566.535,8333.534878044491
AUS,SRV,2405926.541,732643.713,495168.20965401153
ROW,AGF,3338739.0950000007,421101.196,971275.3854247457
ROW,MIN,652497.1679999997,85133.443,316114.8583575672
ROW,ENR,1794643.9384184151,76611.899,1044057.6869608308
ROW,CHM,1186364.18,132024.693,220988.48285791415
ROW,TXL,609702.839,114216.043,79802.33558668965
ROW,WDP,331552.731,50966.924999999996,52665.31407029059
ROW,NMM,1075027.4220000003,144960.917,216725.238547941
ROW,MAC,292980.54800000007,52644.453,26919.848917664414
ROW,ELE,1353946.0979999998,150442.796,297066.67676298786
ROW,VEH,518461.121,68728.597,14917.543437945322
ROW,OTM,340510.45499999996,60888.626,55157.16548868926
ROW,SRV,18845617.074999996,4918253.811,5274178.334420246
