input,region,output,value
MAC,EU27,TXL,0.004351929642834591
ELE,EU27,TXL,0.0035609303012482684
VEH,EU27,TXL,0.0017786136444325864
OTM,EU27,TXL,0.011368380091859288
SRV,EU27,TXL,0.32374466827238035
AGF,EU27,WDP,0.05833476195889308
MIN,EU27,WDP,0.0005661934006614725
ENR,EU27,WDP,0.014506926068343976
CHM,EU27,WDP,0.06339911678432472
TXL,EU27,WDP,0.00416264301164897
WDP,EU27,WDP,0.23214962235299255
NMM,EU27,WDP,0.016399103454742676
MAC,EU27,WDP,0.006104347828186215
ELE,EU27,WDP,0.00498845988462348
VEH,EU27,WDP,0.001974959941328505
OTM,EU27,WDP,0.01026166097878594
SRV,EU27,WDP,0.3100297701514515
AGF,EU27,NMM,0.0018420916313607323
MIN,EU27,NMM,0.02529811365190365
ENR,EU27,NMM,0.022766675111321463
CHM,EU27,NMM,0.02824519356753865
TXL,EU27,NMM,0.0011811477705775662
WDP,EU27,NMM,0.0067897040328825506
NMM,EU27,NMM,0.3042071275830188
MAC,EU27,NMM,0.012487034276246468
ELE,EU27,NMM,0.009651887778476947
VEH,EU27,NMM,0.0038931453838473495
OTM,EU27,NMM,0.010659975146513486
SRV,EU27,NMM,0.30083195748446717
AGF,EU27,MAC,0.0011628295391079523
MIN,EU27,MAC,0.00036106562487527147
ENR,EU27,MAC,0.004827237994414328
CHM,EU27,MAC,0.027690036319756566
TXL,EU27,MAC,0.0011581530213337508
WDP,EU27,MAC,0.004791295056488551
NMM,EU27,MAC,0.183579031992019
MAC,EU27,MAC,0.11205121681808491
ELE,EU27,MAC,0.05154621163299614
VEH,EU27,MAC,0.011966625760206556
OTM,EU27,MAC,0.011877385178154284
SRV,EU27,MAC,0.25872846695461815
AGF,EU27,ELE,0.0014434534039782525
MIN,EU27,ELE,0.0004895857329779774
ENR,EU27,ELE,0.005788588963038497
CHM,EU27,ELE,0.0436535946144894
TXL,EU27,ELE,0.0010942544622858856
WDP,EU27,ELE,0.005647826942191273
NMM,EU27,ELE,0.09747838191794203
MAC,EU27,ELE,0.018795615553698547
ELE,EU27,ELE,0.2516773834525058
VEH,EU27,ELE,0.008096809763594108
OTM,EU27,ELE,0.009909895349
SRV,EU27,ELE,0.2826946450865677
AGF,EU27,VEH,0.000991007732520101
MIN,EU27,VEH,0.0003641845106009847
ENR,EU27,VEH,0.005609970793663091
